degree,specialization,cgpa,internship,projects,skills,job_role
MCA,Web Development,7.42,No,0,"Linux, Windows Server, Networking, Security, NoSQL",System Administrator
B.Sc Computer Science,Data Science,9.92,Yes,3,"Docker, Kubernetes, CI/CD, AWS, Linux, Azure, Swift",DevOps Engineer
BCA,Networking,6.5,No,0,"Python, Machine Learning, TensorFlow, Scikit-learn, Oracle, Selenium",ML Engineer
BCA,Data Science,9.85,No,3,"Agile, Leadership, Communication, Roadmaps, Kubernetes, Security",Product Manager
M.Sc CS,Cybersecurity,6.62,No,6,"Linux, Windows Server, Networking, Java, Node.js",System Administrator
M.Tech CS,Mobile Development,5.56,Yes,4,"Selenium, Testing, Automation, Git, Security, Kotlin",QA/Test Engineer
M.Sc CS,Mobile Development,7.85,No,4,"Agile, Leadership, Communication, Roadmaps, REST API, UI",Product Manager
BCA,Data Science,7.57,Yes,1,"Excel, Power BI, SQL, Communication, React, Docker",Business Analyst
BCA,Mobile Development,7.44,Yes,10,"Networking, Security, Linux, Kubernetes, Question/Answer",Network Administrator
BCA,Software Engineering,9.08,Yes,1,"Networking, Cyber Security, Linux, Firewalls, DSA, Leadership",Cyber Security Analyst
BCA,AI & ML,8.64,No,0,"Node.js, Python, Java, SQL, REST API, Networking, Firewalls",Backend Developer
MBA,Mobile Development,6.76,No,3,"Excel, Power BI, SQL, Communication, Kotlin, Adobe XD",Business Analyst
M.Sc CS,Data Science,9.53,Yes,6,"Troubleshooting, Windows Server, Question/Answer, C++, Swift",IT Support Specialist
B.Tech IT,Cybersecurity,6.88,Yes,7,"Agile, Leadership, Communication, Roadmaps, TensorFlow, Excel",Product Manager
M.Tech CS,Software Engineering,9.7,No,3,"SQL, Oracle, MySQL, NoSQL, TensorFlow, Leadership",Database Administrator
B.Tech CS,Data Science,6.28,Yes,6,"Java, Kotlin, Swift, React Native, Question/Answer, DSA",Mobile Developer
M.Sc CS,Cloud Computing,8.28,Yes,0,"Java, Kotlin, Swift, React Native, Troubleshooting, Adobe XD",Mobile Developer
M.Tech CS,Data Science,5.52,No,8,"SQL, Oracle, MySQL, NoSQL, TensorFlow, UI/UX",Database Administrator
M.Tech CS,Networking,6.53,Yes,3,"Selenium, Testing, Automation, Git, Figma, Power BI",QA/Test Engineer
M.Tech CS,Mobile Development,7.25,Yes,6,"Selenium, Testing, Automation, Git, Swift, Kotlin",QA/Test Engineer
M.Sc CS,Web Development,6.75,No,0,"Python, Pandas, Machine Learning, SQL, Statistics, Docker, Firewalls",Data Scientist
B.Sc Computer Science,AI & ML,9.36,Yes,5,"SQL, Oracle, MySQL, NoSQL, Linux, Java",Database Administrator
MBA,AI & ML,8.52,No,1,"Figma, Adobe XD, UI, UX, Kubernetes, HTML",UI/UX Designer
MCA,AI & ML,8.73,Yes,5,"Networking, Cyber Security, Linux, Firewalls, CSS, Planning",Cyber Security Analyst
B.Sc Computer Science,Cybersecurity,9.05,No,7,"SQL, Oracle, MySQL, NoSQL, Python, Kubernetes",Database Administrator
B.Tech CS,Networking,9.85,No,1,"Python, Machine Learning, TensorFlow, Scikit-learn, Roadmaps, JavaScript",ML Engineer
MCA,Software Engineering,9.74,Yes,0,"Python, SQL, Excel, Power BI, Adobe XD, Java",Data Analyst
B.Sc Computer Science,Data Science,6.35,Yes,10,"Networking, Cyber Security, Linux, Firewalls, Leadership, Selenium",Cyber Security Analyst
B.Tech CS,Data Science,8.01,Yes,3,"Troubleshooting, Windows Server, Question/Answer, React, REST API",IT Support Specialist
BCA,Data Science,6.08,Yes,1,"Python, Pandas, Machine Learning, SQL, Statistics, Node.js, Leadership",Data Scientist
B.Tech IT,Data Science,9.81,Yes,0,"AWS, Azure, GCP, Docker, Selenium, Windows Server",Cloud Engineer
B.Tech CS,Cloud Computing,9.5,Yes,3,"Python, Pandas, Machine Learning, SQL, Statistics, Scrum, Roadmaps",Data Scientist
M.Tech CS,Data Science,6.6,No,4,"SQL, Oracle, MySQL, NoSQL, Roadmaps, Statistics",Database Administrator
MBA,Cybersecurity,9.52,No,9,"Python, SQL, Excel, Power BI, DSA, GCP",Data Analyst
BCA,Mobile Development,8.28,No,10,"Python, Java, C++, DSA, Git, Scikit-learn, Kotlin",Software Developer
BCA,Cloud Computing,8.51,No,2,"Networking, Cyber Security, Linux, Firewalls, Docker, AWS",Cyber Security Analyst
M.Sc CS,Cybersecurity,9.85,Yes,8,"Selenium, Testing, Automation, Git, UI, Node.js",QA/Test Engineer
B.Tech CS,Cloud Computing,9.32,Yes,1,"Excel, Power BI, SQL, Communication, Cyber Security, CI/CD",Business Analyst
B.Sc Computer Science,Networking,7.26,Yes,8,"Docker, Kubernetes, CI/CD, AWS, Linux, Node.js, Security",DevOps Engineer
M.Tech CS,AI & ML,8.42,Yes,0,"Networking, Cyber Security, Linux, Firewalls, Adobe XD, HTML",Cyber Security Analyst
MBA,Cloud Computing,9.49,Yes,1,"Docker, Kubernetes, CI/CD, AWS, Linux, UI/UX, NoSQL",DevOps Engineer
B.Tech IT,Cloud Computing,8.24,No,1,"Node.js, Python, Java, SQL, REST API, React Native, CI/CD",Backend Developer
BCA,Web Development,6.35,No,2,"Linux, Windows Server, Networking, Azure, JavaScript",System Administrator
MBA,Cloud Computing,9.51,Yes,9,"HTML, CSS, JavaScript, React, UI/UX, Figma, Linux",Frontend Developer
M.Tech CS,Cloud Computing,9.46,Yes,6,"Python, Java, C++, DSA, Git, React, CSS",Software Developer
MBA,Cybersecurity,8.59,Yes,7,"HTML, CSS, JavaScript, React, UI/UX, Statistics, DSA",Frontend Developer
M.Tech CS,Web Development,6.84,Yes,6,"Troubleshooting, Windows Server, Question/Answer, HTML, Planning",IT Support Specialist
MCA,Networking,9.58,Yes,6,"Selenium, Testing, Automation, Git, DSA, MySQL",QA/Test Engineer
B.Sc Computer Science,Cloud Computing,6.2,Yes,8,"Agile, Scrum, Leadership, Planning, UI/UX, CI/CD",Project Manager
M.Tech CS,Mobile Development,5.84,Yes,9,"Python, SQL, Excel, Power BI, Docker, Kubernetes",Data Analyst
M.Sc CS,Software Engineering,7.2,Yes,6,"Networking, Cyber Security, Linux, Firewalls, Agile, HTML",Cyber Security Analyst
B.Tech CS,Cloud Computing,5.94,Yes,4,"Figma, Adobe XD, UI, UX, Planning, Power BI",UI/UX Designer
B.Sc Computer Science,Cloud Computing,6.68,No,9,"Excel, Power BI, SQL, Communication, NoSQL, Leadership",Business Analyst
B.Tech CS,Cloud Computing,7.85,Yes,0,"Python, Java, C++, DSA, Git, Adobe XD, Machine Learning",Software Developer
MCA,Web Development,8.33,Yes,7,"Java, Kotlin, Swift, React Native, Pandas, Agile",Mobile Developer
M.Tech CS,Mobile Development,7.32,Yes,10,"Linux, Windows Server, Networking, Kubernetes, Automation",System Administrator
M.Tech CS,Software Engineering,6.28,Yes,4,"Agile, Leadership, Communication, Roadmaps, Adobe XD, TensorFlow",Product Manager
BCA,Mobile Development,7.08,Yes,0,"Node.js, Python, Java, SQL, REST API, CI/CD, Azure",Backend Developer
M.Tech CS,Web Development,6.54,No,7,"Java, Kotlin, Swift, React Native, Git, Cyber Security",Mobile Developer
MCA,Mobile Development,6.17,Yes,7,"Networking, Security, Linux, CI/CD, React Native",Network Administrator
M.Tech CS,Data Science,8.82,No,4,"Python, Java, C++, DSA, Git, React, SQL",Software Developer
M.Tech CS,Networking,5.87,Yes,8,"Python, Pandas, Machine Learning, SQL, Statistics, MySQL, Agile",Data Scientist
B.Tech CS,Cybersecurity,7.85,No,6,"Python, Machine Learning, TensorFlow, Scikit-learn, Leadership, UI",ML Engineer
MBA,Cloud Computing,6.22,No,3,"Networking, Security, Linux, Statistics, Planning",Network Administrator
M.Tech CS,Cloud Computing,6.19,Yes,7,"Networking, Cyber Security, Linux, Firewalls, Scrum, NoSQL",Cyber Security Analyst
B.Tech IT,Cloud Computing,8.12,Yes,6,"Linux, Windows Server, Networking, DSA, Adobe XD",System Administrator
B.Tech IT,Networking,8.21,Yes,3,"Excel, Power BI, SQL, Communication, DSA, Scikit-learn",Business Analyst
B.Tech CS,Software Engineering,9.0,No,1,"SQL, Oracle, MySQL, NoSQL, Adobe XD, Statistics",Database Administrator
M.Tech CS,Software Engineering,8.02,Yes,9,"Troubleshooting, Windows Server, Question/Answer, CI/CD, MySQL",IT Support Specialist
M.Tech CS,Software Engineering,9.87,No,6,"Python, Machine Learning, TensorFlow, Scikit-learn, Docker, Troubleshooting",ML Engineer
B.Sc Computer Science,Web Development,6.03,No,4,"Python, SQL, Excel, Power BI, Kotlin, Docker",Data Analyst
M.Tech CS,Networking,6.35,Yes,9,"HTML, CSS, JavaScript, React, UI/UX, Planning, Windows Server",Frontend Developer
MBA,Software Engineering,8.22,Yes,2,"Agile, Leadership, Communication, Roadmaps, AWS, UI",Product Manager
M.Sc CS,AI & ML,6.32,Yes,5,"Networking, Cyber Security, Linux, Firewalls, JavaScript, Windows Server",Cyber Security Analyst
B.Tech IT,Software Engineering,6.86,No,9,"Python, Java, C++, DSA, Git, React, Docker",Software Developer
B.Sc Computer Science,Data Science,9.96,Yes,1,"Python, Java, C++, DSA, Git, UI, AWS",Software Developer
BCA,Data Science,6.4,Yes,6,"SQL, Oracle, MySQL, NoSQL, DSA, React Native",Database Administrator
BCA,Web Development,8.54,Yes,6,"SQL, Oracle, MySQL, NoSQL, Troubleshooting, TensorFlow",Database Administrator
MBA,Software Engineering,5.77,Yes,1,"Networking, Cyber Security, Linux, Firewalls, Figma, UI",Cyber Security Analyst
M.Tech CS,Web Development,5.96,No,6,"Linux, Windows Server, Networking, UX, JavaScript",System Administrator
B.Tech IT,AI & ML,6.43,No,5,"Figma, Adobe XD, UI, UX, Kubernetes, Git",UI/UX Designer
M.Sc CS,Data Science,6.97,No,9,"Python, SQL, Excel, Power BI, DSA, NoSQL",Data Analyst
BCA,Web Development,5.63,No,10,"Python, Java, C++, DSA, Git, Scrum, React",Software Developer
B.Tech IT,Mobile Development,7.85,No,7,"Agile, Leadership, Communication, Roadmaps, Machine Learning, Node.js",Product Manager
BCA,Software Engineering,7.24,Yes,0,"Networking, Cyber Security, Linux, Firewalls, DSA, HTML",Cyber Security Analyst
MCA,Web Development,8.89,Yes,3,"Selenium, Testing, Automation, Git, Cyber Security, Linux",QA/Test Engineer
B.Tech CS,AI & ML,5.92,Yes,2,"Troubleshooting, Windows Server, Question/Answer, CI/CD, Automation",IT Support Specialist
MCA,AI & ML,7.59,No,6,"Networking, Cyber Security, Linux, Firewalls, Question/Answer, Roadmaps",Cyber Security Analyst
BCA,Data Science,9.3,Yes,7,"HTML, CSS, JavaScript, React, Node.js, Git, Automation, C++",Full Stack Developer
BCA,Networking,8.86,No,0,"Docker, Kubernetes, CI/CD, AWS, Linux, UX, Machine Learning",DevOps Engineer
M.Tech CS,Cloud Computing,9.94,Yes,4,"Figma, Adobe XD, UI, UX, Kotlin, Question/Answer",UI/UX Designer
BCA,Data Science,5.61,No,4,"Agile, Leadership, Communication, Roadmaps, Git, Kubernetes",Product Manager
MBA,Data Science,8.38,Yes,1,"Linux, Windows Server, Networking, GCP, Agile",System Administrator
M.Sc CS,Cybersecurity,5.72,Yes,4,"Excel, Power BI, SQL, Communication, GCP, Automation",Business Analyst
BCA,Data Science,5.51,No,1,"SQL, Oracle, MySQL, NoSQL, Scikit-learn, TensorFlow",Database Administrator
B.Tech IT,Software Engineering,5.62,No,5,"Python, Pandas, Machine Learning, SQL, Statistics, Java, AWS",Data Scientist
MCA,Software Engineering,6.11,No,7,"SQL, Oracle, MySQL, NoSQL, CI/CD, Kubernetes",Database Administrator
M.Sc CS,Software Engineering,5.84,No,3,"Python, Java, C++, DSA, Git, SQL, Machine Learning",Software Developer
BCA,Web Development,7.85,No,2,"Selenium, Testing, Automation, Git, Node.js, Java",QA/Test Engineer
MCA,Networking,7.84,No,5,"Networking, Security, Linux, AWS, Communication",Network Administrator
M.Sc CS,Mobile Development,8.75,No,9,"Python, Java, C++, DSA, Git, JavaScript, Swift",Software Developer
B.Sc Computer Science,Cybersecurity,6.46,Yes,9,"Troubleshooting, Windows Server, Question/Answer, Statistics, Kubernetes",IT Support Specialist
BCA,AI & ML,8.76,Yes,3,"Networking, Cyber Security, Linux, Firewalls, Testing, UX",Cyber Security Analyst
BCA,Networking,5.89,Yes,4,"Linux, Windows Server, Networking, MySQL, Agile",System Administrator
M.Sc CS,Software Engineering,8.19,No,7,"Node.js, Python, Java, SQL, REST API, Azure, Agile",Backend Developer
B.Tech IT,Mobile Development,9.21,No,3,"Python, Pandas, Machine Learning, SQL, Statistics, Firewalls, Figma",Data Scientist
B.Tech CS,Software Engineering,6.3,Yes,2,"Excel, Power BI, SQL, Communication, Java, MySQL",Business Analyst
B.Tech IT,Networking,8.46,No,5,"HTML, CSS, JavaScript, React, Node.js, Git, Power BI, React Native",Full Stack Developer
BCA,Web Development,8.09,Yes,8,"SQL, Oracle, MySQL, NoSQL, Java, Adobe XD",Database Administrator
B.Sc Computer Science,Web Development,7.52,Yes,8,"HTML, CSS, JavaScript, React, UI/UX, Kubernetes, Agile",Frontend Developer
B.Tech IT,Mobile Development,5.74,Yes,2,"HTML, CSS, JavaScript, React, UI/UX, Swift, Java",Frontend Developer
M.Sc CS,Networking,8.82,No,10,"Python, Pandas, Machine Learning, SQL, Statistics, CI/CD, React Native",Data Scientist
BCA,Cloud Computing,9.55,No,9,"Node.js, Python, Java, SQL, REST API, GCP, CI/CD",Backend Developer
MCA,Data Science,6.21,Yes,8,"Networking, Security, Linux, CSS, Agile",Network Administrator
B.Sc Computer Science,AI & ML,6.5,Yes,10,"Java, Kotlin, Swift, React Native, Agile, Python",Mobile Developer
MCA,Web Development,5.85,No,8,"Networking, Security, Linux, Adobe XD, Question/Answer",Network Administrator
M.Tech CS,AI & ML,8.84,No,1,"HTML, CSS, JavaScript, React, Node.js, Git, DSA, Roadmaps",Full Stack Developer
B.Tech IT,Web Development,8.49,No,5,"Python, Pandas, Machine Learning, SQL, Statistics, Troubleshooting, Adobe XD",Data Scientist
MCA,Web Development,9.73,No,9,"HTML, CSS, JavaScript, React, UI/UX, Roadmaps, Linux",Frontend Developer
MBA,Mobile Development,5.63,Yes,8,"Python, Machine Learning, TensorFlow, Scikit-learn, Statistics, Question/Answer",ML Engineer
MCA,Web Development,7.23,Yes,4,"Docker, Kubernetes, CI/CD, AWS, Linux, Selenium, C++",DevOps Engineer
MCA,AI & ML,9.48,Yes,4,"Python, Machine Learning, TensorFlow, Scikit-learn, Git, CI/CD",ML Engineer
M.Sc CS,Networking,7.73,No,5,"Agile, Leadership, Communication, Roadmaps, UX, Networking",Product Manager
MCA,Software Engineering,9.13,No,1,"Python, SQL, Excel, Power BI, Adobe XD, GCP",Data Analyst
BCA,Data Science,9.47,Yes,9,"Python, SQL, Excel, Power BI, Java, Question/Answer",Data Analyst
M.Sc CS,Web Development,8.07,No,1,"Python, Pandas, Machine Learning, SQL, Statistics, Networking, Security",Data Scientist
M.Sc CS,Data Science,7.89,Yes,4,"Java, Kotlin, Swift, React Native, Windows Server, Oracle",Mobile Developer
M.Sc CS,Mobile Development,5.86,Yes,6,"Networking, Cyber Security, Linux, Firewalls, AWS, Java",Cyber Security Analyst
MCA,Software Engineering,9.77,Yes,8,"AWS, Azure, GCP, Docker, Scikit-learn, Roadmaps",Cloud Engineer
BCA,AI & ML,7.53,Yes,9,"Networking, Cyber Security, Linux, Firewalls, Excel, Communication",Cyber Security Analyst
M.Tech CS,Cloud Computing,5.63,Yes,9,"SQL, Oracle, MySQL, NoSQL, Cyber Security, Troubleshooting",Database Administrator
B.Sc Computer Science,Cybersecurity,8.76,Yes,8,"AWS, Azure, GCP, Docker, Oracle, Kubernetes",Cloud Engineer
M.Sc CS,Web Development,7.45,Yes,8,"Linux, Windows Server, Networking, Java, React",System Administrator
B.Tech IT,Software Engineering,9.37,No,7,"Docker, Kubernetes, CI/CD, AWS, Linux, C++, Java",DevOps Engineer
B.Tech CS,Data Science,9.89,No,6,"Python, Machine Learning, TensorFlow, Scikit-learn, Pandas, CI/CD",ML Engineer
M.Tech CS,Data Science,9.96,No,0,"Figma, Adobe XD, UI, UX, Agile, Python",UI/UX Designer
M.Sc CS,Cybersecurity,7.75,Yes,5,"Selenium, Testing, Automation, Git, Scrum, Swift",QA/Test Engineer
M.Sc CS,Cybersecurity,8.1,No,10,"Selenium, Testing, Automation, Git, Firewalls, Java",QA/Test Engineer
B.Sc Computer Science,AI & ML,9.47,Yes,4,"Networking, Cyber Security, Linux, Firewalls, CSS, C++",Cyber Security Analyst
B.Tech IT,Data Science,5.9,Yes,3,"Agile, Scrum, Leadership, Planning, Pandas, HTML",Project Manager
B.Tech IT,Networking,6.14,Yes,2,"Python, Java, C++, DSA, Git, JavaScript, UX",Software Developer
BCA,Networking,8.3,No,2,"Python, Java, C++, DSA, Git, Cyber Security, NoSQL",Software Developer
M.Tech CS,Cybersecurity,6.67,No,0,"Selenium, Testing, Automation, Git, React, Firewalls",QA/Test Engineer
MCA,Networking,8.5,Yes,3,"Agile, Scrum, Leadership, Planning, Question/Answer, Oracle",Project Manager
B.Tech IT,Cybersecurity,6.34,No,8,"Networking, Security, Linux, Scikit-learn, Question/Answer",Network Administrator
BCA,Software Engineering,6.32,No,7,"Selenium, Testing, Automation, Git, Communication, Security",QA/Test Engineer
MBA,Cybersecurity,9.6,Yes,2,"Agile, Scrum, Leadership, Planning, Node.js, SQL",Project Manager
M.Sc CS,Data Science,8.16,No,3,"Linux, Windows Server, Networking, MySQL, Firewalls",System Administrator
B.Tech IT,Web Development,5.54,No,2,"AWS, Azure, GCP, Docker, Python, Machine Learning",Cloud Engineer
B.Tech CS,Web Development,8.54,No,7,"Python, Machine Learning, TensorFlow, Scikit-learn, AWS, Azure",ML Engineer
B.Tech IT,Software Engineering,8.09,No,5,"HTML, CSS, JavaScript, React, UI/UX, Pandas, Planning",Frontend Developer
MBA,Data Science,7.88,No,3,"Docker, Kubernetes, CI/CD, AWS, Linux, Testing, Azure",DevOps Engineer
B.Sc Computer Science,Data Science,8.17,Yes,2,"Linux, Windows Server, Networking, Adobe XD, Automation",System Administrator
MBA,Mobile Development,9.86,No,8,"HTML, CSS, JavaScript, React, UI/UX, Windows Server, Networking",Frontend Developer
MCA,Mobile Development,7.25,No,8,"Java, Kotlin, Swift, React Native, Scikit-learn, Statistics",Mobile Developer
M.Tech CS,Mobile Development,7.85,No,7,"Selenium, Testing, Automation, Git, UX, Linux",QA/Test Engineer
B.Tech IT,Web Development,5.63,No,0,"Troubleshooting, Windows Server, Question/Answer, React Native, Excel",IT Support Specialist
MBA,Networking,5.94,Yes,3,"Python, SQL, Excel, Power BI, HTML, Linux",Data Analyst
B.Tech IT,Cybersecurity,7.32,Yes,3,"Networking, Security, Linux, CI/CD, DSA",Network Administrator
B.Tech IT,Mobile Development,5.8,No,4,"Networking, Cyber Security, Linux, Firewalls, JavaScript, Question/Answer",Cyber Security Analyst
B.Sc Computer Science,Cloud Computing,9.48,No,10,"HTML, CSS, JavaScript, React, UI/UX, Adobe XD, Testing",Frontend Developer
MCA,Web Development,9.92,No,1,"Python, Java, C++, DSA, Git, Scikit-learn, Windows Server",Software Developer
BCA,Mobile Development,8.12,No,0,"SQL, Oracle, MySQL, NoSQL, Windows Server, Agile",Database Administrator
B.Tech CS,Web Development,6.37,Yes,8,"Agile, Scrum, Leadership, Planning, Power BI, Oracle",Project Manager
B.Tech IT,Mobile Development,8.2,Yes,2,"Python, Machine Learning, TensorFlow, Scikit-learn, Testing, UI",ML Engineer
MCA,Web Development,8.56,Yes,7,"HTML, CSS, JavaScript, React, Node.js, Git, REST API, Java",Full Stack Developer
B.Tech CS,Web Development,5.85,No,4,"Agile, Scrum, Leadership, Planning, Kubernetes, Figma",Project Manager
BCA,Cloud Computing,8.78,No,9,"HTML, CSS, JavaScript, React, Node.js, Git, Kubernetes, Kotlin",Full Stack Developer
BCA,AI & ML,9.53,No,1,"SQL, Oracle, MySQL, NoSQL, CSS, Figma",Database Administrator
MBA,Cloud Computing,5.56,No,1,"Excel, Power BI, SQL, Communication, Docker, Python",Business Analyst
BCA,Cloud Computing,9.12,No,1,"Python, SQL, Excel, Power BI, Troubleshooting, Networking",Data Analyst
B.Tech CS,Mobile Development,6.85,No,10,"Agile, Scrum, Leadership, Planning, Kotlin, Scikit-learn",Project Manager
M.Tech CS,Cloud Computing,7.74,Yes,5,"Networking, Security, Linux, UI/UX, Swift",Network Administrator
MCA,Web Development,5.99,Yes,3,"Troubleshooting, Windows Server, Question/Answer, Cyber Security, Python",IT Support Specialist
B.Sc Computer Science,Software Engineering,8.18,No,7,"Docker, Kubernetes, CI/CD, AWS, Linux, React Native, TensorFlow",DevOps Engineer
B.Sc Computer Science,Mobile Development,9.05,Yes,0,"SQL, Oracle, MySQL, NoSQL, DSA, AWS",Database Administrator
M.Sc CS,Software Engineering,9.96,No,4,"Python, SQL, Excel, Power BI, Docker, JavaScript",Data Analyst
BCA,Mobile Development,9.88,Yes,6,"Node.js, Python, Java, SQL, REST API, Statistics, Security",Backend Developer
MCA,Cloud Computing,5.94,No,10,"Excel, Power BI, SQL, Communication, UI/UX, Node.js",Business Analyst
MCA,Cloud Computing,8.17,No,8,"Node.js, Python, Java, SQL, REST API, TensorFlow, Scrum",Backend Developer
B.Tech IT,Cloud Computing,8.4,Yes,9,"SQL, Oracle, MySQL, NoSQL, Java, Leadership",Database Administrator
MBA,Mobile Development,8.41,Yes,0,"Linux, Windows Server, Networking, Machine Learning, MySQL",System Administrator
B.Sc Computer Science,Software Engineering,8.86,No,2,"Excel, Power BI, SQL, Communication, Troubleshooting, C++",Business Analyst
M.Sc CS,Web Development,7.78,Yes,6,"Networking, Cyber Security, Linux, Firewalls, REST API, React",Cyber Security Analyst
MCA,Networking,9.78,Yes,7,"Figma, Adobe XD, UI, UX, Communication, Leadership",UI/UX Designer
M.Tech CS,Software Engineering,9.35,Yes,1,"AWS, Azure, GCP, Docker, Machine Learning, SQL",Cloud Engineer
MCA,AI & ML,9.66,Yes,5,"Networking, Security, Linux, REST API, Scrum",Network Administrator
BCA,Web Development,7.4,Yes,7,"Networking, Security, Linux, Agile, UX",Network Administrator
MBA,Software Engineering,8.95,Yes,1,"Python, Pandas, Machine Learning, SQL, Statistics, Cyber Security, GCP",Data Scientist
M.Tech CS,Cloud Computing,7.82,No,1,"Java, Kotlin, Swift, React Native, Testing, React",Mobile Developer
B.Tech IT,Data Science,6.67,Yes,5,"Python, Java, C++, DSA, Git, Azure, Adobe XD",Software Developer
MCA,Web Development,7.7,Yes,6,"Networking, Security, Linux, Node.js, Troubleshooting",Network Administrator
M.Sc CS,Networking,9.53,Yes,9,"HTML, CSS, JavaScript, React, UI/UX, Adobe XD, CI/CD",Frontend Developer
B.Tech IT,AI & ML,9.17,No,2,"AWS, Azure, GCP, Docker, Networking, Oracle",Cloud Engineer
B.Sc Computer Science,Mobile Development,9.73,No,10,"Selenium, Testing, Automation, Git, UI, Question/Answer",QA/Test Engineer
B.Tech CS,Mobile Development,6.25,Yes,10,"Figma, Adobe XD, UI, UX, Agile, Python",UI/UX Designer
M.Sc CS,Networking,9.02,Yes,4,"HTML, CSS, JavaScript, React, UI/UX, Node.js, Communication",Frontend Developer
BCA,Cloud Computing,5.95,No,0,"Python, Java, C++, DSA, Git, Automation, Figma",Software Developer
B.Tech CS,AI & ML,7.23,No,9,"Python, Java, C++, DSA, Git, Azure, Machine Learning",Software Developer
M.Tech CS,Networking,9.93,No,1,"Excel, Power BI, SQL, Communication, Troubleshooting, React",Business Analyst
BCA,Networking,6.27,Yes,4,"Python, Java, C++, DSA, Git, CSS, Scikit-learn",Software Developer
B.Tech IT,AI & ML,6.85,No,5,"AWS, Azure, GCP, Docker, Adobe XD, Scrum",Cloud Engineer
BCA,Cybersecurity,7.46,Yes,10,"Python, SQL, Excel, Power BI, REST API, Docker",Data Analyst
B.Sc Computer Science,Mobile Development,7.33,No,0,"Excel, Power BI, SQL, Communication, GCP, NoSQL",Business Analyst
MCA,Cybersecurity,8.49,No,5,"Networking, Cyber Security, Linux, Firewalls, Swift, SQL",Cyber Security Analyst
B.Tech IT,Cybersecurity,8.51,No,7,"Troubleshooting, Windows Server, Question/Answer, NoSQL, TensorFlow",IT Support Specialist
B.Sc Computer Science,Mobile Development,6.95,Yes,2,"HTML, CSS, JavaScript, React, Node.js, Git, TensorFlow, Communication",Full Stack Developer
B.Tech CS,Mobile Development,9.42,No,0,"Python, Pandas, Machine Learning, SQL, Statistics, Firewalls, CI/CD",Data Scientist
MCA,Cloud Computing,7.26,No,5,"Figma, Adobe XD, UI, UX, Kotlin, Firewalls",UI/UX Designer
B.Sc Computer Science,Data Science,8.82,No,8,"Selenium, Testing, Automation, Git, Kubernetes, Node.js",QA/Test Engineer
MCA,AI & ML,6.69,Yes,5,"Docker, Kubernetes, CI/CD, AWS, Linux, Oracle, NoSQL",DevOps Engineer
M.Tech CS,Cloud Computing,7.61,No,10,"Agile, Leadership, Communication, Roadmaps, Pandas, GCP",Product Manager
M.Tech CS,Mobile Development,8.94,Yes,9,"Python, Machine Learning, TensorFlow, Scikit-learn, Question/Answer, Roadmaps",ML Engineer
BCA,Data Science,8.83,Yes,6,"Selenium, Testing, Automation, Git, Statistics, SQL",QA/Test Engineer
B.Sc Computer Science,AI & ML,7.92,Yes,5,"Figma, Adobe XD, UI, UX, Python, Security",UI/UX Designer
M.Tech CS,Networking,9.8,No,9,"Python, Pandas, Machine Learning, SQL, Statistics, MySQL, JavaScript",Data Scientist
M.Sc CS,Cloud Computing,9.59,Yes,10,"Figma, Adobe XD, UI, UX, Java, DSA",UI/UX Designer
M.Tech CS,Data Science,7.84,No,10,"Python, SQL, Excel, Power BI, React, Security",Data Analyst
B.Tech IT,Mobile Development,9.5,Yes,0,"Networking, Security, Linux, HTML, Roadmaps",Network Administrator
B.Tech CS,Software Engineering,9.54,Yes,8,"Java, Kotlin, Swift, React Native, Linux, Agile",Mobile Developer
M.Sc CS,Web Development,6.25,No,7,"Troubleshooting, Windows Server, Question/Answer, Communication, Scrum",IT Support Specialist
MBA,Data Science,6.18,No,5,"Java, Kotlin, Swift, React Native, Figma, SQL",Mobile Developer
B.Tech IT,Networking,7.01,Yes,4,"Python, SQL, Excel, Power BI, Adobe XD, Statistics",Data Analyst
M.Sc CS,Web Development,9.78,Yes,0,"Figma, Adobe XD, UI, UX, JavaScript, Git",UI/UX Designer
M.Tech CS,Cybersecurity,9.88,No,7,"Python, Machine Learning, TensorFlow, Scikit-learn, Communication, UX",ML Engineer
B.Sc Computer Science,AI & ML,5.93,No,8,"Networking, Cyber Security, Linux, Firewalls, Node.js, GCP",Cyber Security Analyst
B.Tech CS,Software Engineering,8.67,No,4,"Python, Java, C++, DSA, Git, Networking, Kotlin",Software Developer
M.Tech CS,Mobile Development,7.28,No,2,"Java, Kotlin, Swift, React Native, Azure, Agile",Mobile Developer
M.Tech CS,Mobile Development,7.49,Yes,5,"Troubleshooting, Windows Server, Question/Answer, CI/CD, DSA",IT Support Specialist
B.Tech IT,Mobile Development,8.63,No,10,"Python, SQL, Excel, Power BI, Statistics, TensorFlow",Data Analyst
B.Sc Computer Science,Web Development,7.63,Yes,7,"Networking, Cyber Security, Linux, Firewalls, React, Kotlin",Cyber Security Analyst
B.Sc Computer Science,Cloud Computing,7.17,Yes,6,"Excel, Power BI, SQL, Communication, Roadmaps, Machine Learning",Business Analyst
M.Tech CS,Cybersecurity,9.03,No,10,"Selenium, Testing, Automation, Git, Docker, Planning",QA/Test Engineer
MCA,Networking,7.86,Yes,9,"HTML, CSS, JavaScript, React, UI/UX, C++, Scrum",Frontend Developer
BCA,Cybersecurity,7.65,No,6,"Linux, Windows Server, Networking, Python, Statistics",System Administrator
